,PRODUCT,Coal and coal products,Peat and peat products,Oil shale and oil sands,"Crude, NGL and feedstocks",Oil products,Natural gas,Nuclear,Hydro,Geothermal,Solar/wind/other,Biofuels and waste,Heat production from non-specified combustible fuels,Electricity,Heat,Total,Memo: Renewables,"Memo: Coal, peat and oil shale",Memo: Primary and secondary oil,"Memo: Geothermal, solar/wind/other, heat, electricity"
FLOW,TIME
Exports,1992,-2204,0,0,0,-6072,0,0,0,0,0,0,0,0,0,-8277,0,-2204,-6072,0
Exports,1993,-2492,0,0,0,-7506,0,0,0,0,0,0,0,0,0,-9998,0,-2492,-7506,0
Exports,1994,-2342,0,0,0,-7786,0,0,0,0,0,0,0,0,0,-10128,0,-2342,-7786,0
Exports,1995,-2481,0,0,0,-9045,0,0,0,0,0,0,0,0,0,-11526,0,-2481,-9045,0
Exports,1996,-2045,0,0,0,-8020,0,0,0,0,0,0,0,0,0,-10065,0,-2045,-8020,0
Exports,1997,-1939,0,0,0,-9014,0,0,0,0,0,0,0,0,0,-10954,0,-1939,-9014,0
Exports,1998,-2280,0,0,0,-6851,0,0,0,0,0,0,0,0,0,-9132,0,-2280,-6851,0
Exports,1999,-1982,0,0,0,-5282,0,0,0,0,0,0,0,0,0,-7264,0,-1982,-5282,0
Exports,2000,-1867,0,0,0,-4467,0,0,0,0,0,0,0,0,0,-6334,0,-1867,-4467,0
Exports,2001,-1730,0,0,0,-4868,0,0,0,0,0,0,0,0,0,-6598,0,-1730,-4868,0
Exports,2002,-2328,0,0,0,-3859,0,0,0,0,0,0,0,0,0,-6187,0,-2328,-3859,0
Exports,2003,-1870,0,0,0,-4017,0,0,0,0,0,0,0,0,0,-5887,0,-1870,-4017,0
Exports,2004,-1465,0,0,0,-4677,0,0,0,0,0,0,0,0,0,-6142,0,-1465,-4677,0
Exports,2005,-1179,0,0,0,-8988,0,0,0,0,0,0,0,0,0,-10167,0,-1179,-8988,0
Exports,2006,-1382,0,0,0,-10096,0,0,0,0,0,0,0,0,0,-11478,0,-1382,-10096,0
Exports,2007,-975,0,0,0,-14583,0,0,0,0,0,0,0,0,0,-15558,0,-975,-14583,0
