PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Peat products,Oil shale and oil sands,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Bio jet kerosene,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
COUNTRY
World,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-3932781,-106877,-138342,-6379,-24061,148740,170,128952,1027343,962,0,306034,62135,1376852,439215,276697,7421,37312,102660,2838,94761,115367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80981,0
OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-953776,-22029,-27422,-955,-20916,25352,126,14235,423167,533,0,85791,1859,290911,40558,16058,1659,10479,24438,238,48032,14556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27106,0
OECD Asia Oceania,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-338242,-7040,-17340,0,-193,15497,0,8629,76578,71,0,39098,16077,109745,29605,46420,515,4873,7759,70,1610,5131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1136,0
OECD Europe,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-615416,-6032,-50185,-2521,-1707,26405,44,18285,129407,126,0,39659,13014,269283,71810,42047,1426,7734,20242,663,9251,20554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5909,0
Africa,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-102411,-5526,-1094,0,0,2117,0,2422,17838,2,0,8793,1161,33581,23831,11972,101,567,1381,7,368,1254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3635,0
Non-OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-225470,-5841,-15125,-413,-774,8792,0,7139,50737,86,0,12963,384,75799,51544,8613,409,1449,4229,60,6642,9736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9042,0
Middle East,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-331005,-36295,-1317,-1940,0,8087,0,6534,56499,9,0,29040,17126,114619,77961,39417,153,2227,7975,1,0,5377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5533,0
Non-OECD Europe and Eurasia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-343596,-23889,-3255,-247,-471,22524,0,24769,60856,6,0,15374,185,108714,88846,29086,1503,3681,7994,183,2897,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2380,0
Non-OECD Asia (excluding China),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-490875,-225,-21306,-304,0,20686,0,16652,87598,128,0,40353,10540,192278,38846,43182,300,5258,9939,75,11435,24919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10519,0
