PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Peat products,Oil shale and oil sands,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Bio jet kerosene,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
COUNTRY
World,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-4016013,-120702,-149408,-6034,-34241,147459,161,148911,1061375,917,0,329941,57940,1381209,419429,297466,9116,42628,107777,4350,99218,124736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-93766,0
OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-956435,-22904,-29425,-425,-30494,23673,137,14206,435758,557,0,92020,1310,289123,40337,13603,1781,10372,24717,234,48235,15163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28457,0
OECD Asia Oceania,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-346999,-2223,-20619,0,-114,14398,0,9189,74287,60,0,41005,15908,107980,29314,51693,661,4821,8108,78,1693,5436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5323,0
OECD Europe,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-622857,-6936,-51914,-2798,-1725,26248,24,19147,129978,100,0,41208,12891,265675,76673,48339,1009,7629,20106,652,9411,21435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5703,0
Africa,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-97899,-5462,-1809,0,0,1865,0,2460,18408,3,0,8068,1507,32053,21514,11532,97,529,1314,9,357,1396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4059,0
Non-OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-195394,-5931,-16787,-393,-1351,8033,0,7213,47580,72,0,11518,286,66207,41857,7860,339,1462,3950,54,7029,9151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7244,0
Middle East,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-350749,-43461,-1476,-1803,0,8301,0,6728,60245,8,0,31351,16755,120955,86187,41197,556,2713,6850,105,0,4240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11298,0
Non-OECD Europe and Eurasia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-339401,-33441,-3109,-298,-558,21242,0,35023,60163,10,0,15719,180,111374,66148,29294,1920,7581,8775,242,4319,7831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6987,0
Non-OECD Asia (excluding China),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-521504,-344,-22629,-317,0,23210,0,19347,96057,106,0,46681,7708,201804,37832,47921,800,5726,9898,126,12510,25001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10067,0
