PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Peat products,Oil shale and oil sands,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Bio jet kerosene,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
Saudi Arabia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-124489,-10164,0,0,0,4930,0,1521,25384,0,0,4550,7519,53321,24265,9581,0,0,1734,0,0,945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-903,0
Senegal,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1253,0,0,0,0,17,0,3,124,0,0,0,0,654,255,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-106,0
Serbia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-3287,-102,-218,-10,-74,77,0,182,507,0,0,126,0,1345,372,377,0,12,310,0,10,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-210,0
Singapore,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-44538,0,-6496,0,0,3203,0,948,9733,1,0,10839,278,10397,4407,3041,220,3172,3197,19,168,669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-743,0
Slovak Republic,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-5756,-2,-174,-221,-140,649,0,193,1561,0,0,102,0,2902,449,404,0,0,0,0,41,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,0
Slovenia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-20604,-150,0,0,0,944,0,300,6269,0,0,2134,481,7154,2737,171,93,112,437,10,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0
South Sudan,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spain,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-65659,0,-714,-3,0,2797,0,1693,10042,0,0,220,8907,27110,4881,1255,276,410,2302,91,2891,2460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1041,0
Sri Lanka,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1798,0,0,0,0,16,0,10,181,0,0,155,109,612,469,157,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0
Sudan,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-4849,0,0,0,0,28,0,253,1544,0,0,75,9,2391,270,10,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111,0
Suriname,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-547,0,0,0,0,0,0,0,40,0,0,0,0,207,284,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12,0
Sweden,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-19859,0,-1421,-11,0,874,0,528,5156,0,0,75,0,7558,3824,90,0,384,895,0,53,1989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0
Switzerland,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-3026,0,-42,-36,0,145,0,114,725,0,0,44,0,1723,305,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15,0
Syrian Arab Republic,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-7107,0,0,0,0,108,0,82,622,0,0,225,3,2282,2771,620,0,26,299,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-52,0
Chinese Taipei,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-46628,0,-61,-317,0,2421,0,1335,9667,0,0,3733,7,13709,5170,7799,85,816,577,0,1038,632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18,0
Tajikistan,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-25,0,0,0,0,0,0,0,1,0,0,0,0,5,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0
United Republic of Tanzania,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thailand,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-61791,0,0,0,0,632,0,2325,8053,0,0,5605,1833,22355,5381,11262,0,0,1271,0,0,1577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1497,0
Togo,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-7732,0,0,0,0,68,0,70,2196,0,0,708,33,2185,2147,0,0,0,8,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-248,0
Tunisia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1230,0,0,0,0,2,0,22,23,0,0,0,55,451,400,242,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24,0
Turkey,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-28076,0,-2745,-65,-462,1822,0,1068,5363,0,0,4626,18,9830,2709,336,12,128,3201,0,560,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1349,0
Turkmenistan,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-8643,-296,0,0,0,142,0,396,2743,0,0,483,154,2818,1615,0,0,0,0,0,0,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-236,0
Ukraine,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-2117,-666,-275,-24,0,31,0,449,685,0,0,0,0,945,564,0,0,90,25,0,0,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,0
United Arab Emirates,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-37575,-14084,0,0,0,487,0,1186,6274,0,0,13490,0,11237,5799,12663,0,152,0,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1178,0
United Kingdom,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-54967,-1058,-6376,-19,-16,2890,0,2447,18226,0,0,4511,2070,20865,4131,2423,99,351,902,11,1439,1051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1021,0
United States,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-819773,-18771,-21947,-113,-4965,17826,85,11788,382851,484,0,81090,676,235860,22145,8840,1522,8604,18841,210,46208,11884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16655,0
Uruguay,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-2164,0,0,0,0,74,0,105,563,0,0,119,7,783,386,0,0,0,0,0,35,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51,0
Uzbekistan,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-3528,0,0,-13,-131,136,0,822,1192,1,0,177,17,1026,89,0,9,253,60,2,17,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0
Bolivarian Republic of Venezuela,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-32587,-4555,-4996,0,0,1709,0,101,10100,0,0,1917,59,8513,12440,2236,0,178,645,13,1183,2965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0
Viet Nam,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-7128,0,0,0,0,0,0,533,2916,0,0,389,0,2935,120,0,0,0,0,0,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-71,0
Yemen,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-947,0,0,0,0,0,0,69,81,0,0,28,90,195,145,187,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-146,0
Zambia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-494,0,0,0,0,11,0,8,68,0,0,25,25,258,60,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29,0
Zimbabwe,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Former Soviet Union (if no detail),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Former Yugoslavia (if no detail),x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Other Africa,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-705,0,0,0,0,0,0,59,247,0,0,27,4,301,23,0,0,1,1,0,28,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Other non-OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other non-OECD Asia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1417,0,0,0,0,0,0,15,0,0,0,113,105,429,130,547,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0
Memo: Greenland,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memo: Guyana,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memo: Madagascar,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memo: Mali,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memo: Palestinian Authority,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memo: Uganda,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Memo: Africa (UN),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-100057,-4745,-1814,0,0,1932,0,2400,19288,2,0,7175,1393,33195,22675,10485,103,502,1308,10,375,1244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4530,0
Memo: Americas (UN),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1152708,-27952,-49420,-1453,-28048,33629,85,21289,484568,623,0,100671,1969,353326,85490,24214,2015,11116,28347,292,56633,24687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30628,0
Memo: Asia (UN),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1790506,-44314,-41486,-2295,-692,67130,0,69858,362914,151,0,154131,45387,611111,177950,180752,3351,14507,49628,2202,29073,67395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-43755,0
Memo: Europe (UN),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-888248,-31547,-51325,-2925,-1669,45240,11,43738,176981,123,0,47404,12437,348579,139336,70484,2986,10980,25332,699,12115,23151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16119,0
Memo: Oceania (UN),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-29133,0,-2034,0,-132,1159,0,663,10721,48,0,4229,114,10069,1126,898,78,0,293,0,342,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1337,0
Memo: OECD Total,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1894234,-34622,-103845,-3838,-28686,67079,96,40727,637746,733,0,167051,30361,649663,147013,107982,3219,21830,52717,835,60570,42427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35175,0
Memo: Non-OECD Total,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-2066417,-73937,-42234,-2835,-1855,82012,0,97221,416725,215,0,146559,30938,706616,279564,178850,5314,15274,52190,2367,37968,74271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61193,0
Memo: IEA Total,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1865295,-34622,-98432,-3575,-28587,65729,96,39665,628664,729,0,164357,29897,638922,141477,106754,3219,21774,52302,835,60194,41109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34787,0
Memo: IEA and Accession/Association countries,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-2951596,-35482,-127527,-3838,-29879,111033,96,93499,864994,776,0,246073,41585,1027770,203955,188928,5671,28278,84897,2972,90717,97314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-59764,0
Memo: European Union-28,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-587609,-5936,-47804,-2780,-1594,25293,11,17683,125163,123,0,34100,12413,254639,72777,41660,1194,7109,17036,529,9265,21697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5034,0
Memo: European Union-27,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-532642,-4878,-41428,-2761,-1578,22403,11,15236,106936,123,0,29588,10343,233774,68646,39237,1094,6757,16135,518,7826,20647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4013,0
Memo: FSU 15,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-325463,-26109,-1196,-111,-131,20301,0,28036,57653,11,0,15263,177,99623,71473,27453,1802,4194,8713,172,2978,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13168,0
Memo: Former Yugoslavia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-7445,-123,-611,-77,-157,277,0,432,1562,0,0,245,0,3192,1013,452,0,60,453,0,50,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-311,0
Memo: OPEC,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-392969,-36042,-5695,-1523,0,10164,0,6851,68474,2,0,26917,17795,128650,99630,46024,427,2213,7257,14,1190,7502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13118,0
Memo: ASEAN,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-197086,-87,-11983,-7,0,4943,0,6533,41002,1,0,23514,3060,67301,19861,17747,220,3458,4763,19,177,8632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7933,0
Memo: G7,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1308938,-28177,-61041,-1776,-26735,41926,96,26399,525502,572,0,115091,17188,434628,70417,46616,1817,16519,35062,566,52217,23263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18789,0
Memo: G8,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-1570680,-53020,-61041,-1776,-26735,60357,96,50855,567543,572,0,127339,17188,512210,129102,73884,3609,20251,42172,736,54685,23263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-29390,0
Memo: G20,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-3249953,-70602,-120490,-4110,-30236,132115,96,117516,917150,770,0,246118,46830,1132702,279804,212644,7683,29206,89659,3132,94088,95765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-70112,0
