PRODUCT,Hard coal (if no detail),Brown coal (if no detail),Anthracite,Coking coal,Other bituminous coal,Sub-bituminous coal,Lignite,Patent fuel,Coke oven coke,Gas coke,Coal tar,BKB,Gas works gas,Coke oven gas,Blast furnace gas,Other recovered gases,Peat,Peat products,Oil shale and oil sands,Natural gas,Crude/NGL/feedstocks (if no detail),Crude oil,Natural gas liquids,Refinery feedstocks,Additives/blending components,Other hydrocarbons,Refinery gas,Ethane,Liquefied petroleum gases (LPG),Motor gasoline excl. biofuels,Aviation gasoline,Gasoline type jet fuel,Kerosene type jet fuel excl. biofuels,Other kerosene,Gas/diesel oil excl. biofuels,Fuel oil,Naphtha,White spirit & SBP,Lubricants,Bitumen,Paraffin waxes,Petroleum coke,Other oil products,Industrial waste,Municipal waste (renewable),Municipal waste (non-renewable),Primary solid biofuels,Biogases,Biogasoline,Biodiesels,Bio jet kerosene,Other liquid biofuels,Non-specified primary biofuels and waste,Charcoal,Elec/heat output from non-specified manufactured gases,Heat output from non-specified combustible fuels,Nuclear,Hydro,Geothermal,Solar photovoltaics,Solar thermal,"Tide, wave and ocean",Wind,Other sources,Electricity,Heat,Total,Memo: Renewables
COUNTRY
World,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-3844251,-109241,-147621,-6670,-26751,139130,170,127405,995866,1021,0,289936,62059,1344881,451417,267080,7967,37691,98735,3110,92949,113234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-101884,0
OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-950634,-22375,-31524,-911,-24123,24817,124,15500,415697,586,0,83780,1730,288326,44082,16949,1905,10049,23525,343,48284,14747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39123,0
OECD Asia Oceania,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-327447,-7447,-17793,0,-191,14480,0,8584,75290,73,0,37065,16317,107517,30284,42169,516,5230,7168,79,1645,5684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-777,0
OECD Europe,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-581245,-5114,-51869,-2853,-1358,23559,40,17771,123552,128,0,36631,12398,257908,69237,38796,1256,8205,17425,962,8313,18807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7450,0
Africa,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-107927,-5832,-2043,0,0,2232,0,2602,18614,2,0,8700,1305,35945,24860,13280,85,674,1578,11,373,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4415,0
Non-OECD Americas,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-234000,-6980,-15264,-359,-665,8988,0,7558,52703,105,0,13813,358,78367,53931,9081,482,1513,5679,61,6471,11540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6616,0
Middle East,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-311118,-36576,-1560,-1856,0,6377,6,6392,54206,8,0,24560,17931,104618,80841,35255,256,2413,8538,10,0,2651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7048,0
Non-OECD Europe and Eurasia,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-352830,-24719,-3163,-351,-414,20555,0,24562,60549,2,0,16865,190,109786,92987,27684,2394,3555,7469,201,3242,3030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8404,0
Non-OECD Asia (excluding China),x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,-473376,-199,-23773,-339,0,19895,0,15656,81655,116,0,38772,10704,183811,40747,43672,315,5048,9158,75,10622,24214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13228,0
