TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,715,922,1101,1022,1025,769,889,855,1200,605,625,507,614,463,732,717,599,244,378,256,276,339,330,388,453,552,545,723,782,..
Bahrain,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bangladesh,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,123,79,73,2,2,0,0,1,2,2,2,0,8,8,8,5,2,1,0,0,0,0,0,0,0,0,..
Belgium,170,281,377,503,154,198,416,311,652,1136,1424,1577,1770,1841,1837,1483,1578,1356,1596,1657,1396,1349,1421,1649,1759,1890,1962,2069,2111,2078,2103,2363,2411,2365,4341,4559,4572,4637,4631,4898,5487,5554,5512,5373,5648,5916,5427,5380,6346,4952,5295,5119,5372,6026,6581,5997,6035,5812,6151,..
Benin,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Plurinational State of Bolivia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bosnia and Herzegovina,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Botswana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Brazil,..,..,..,..,..,..,..,..,..,..,..,23,588,949,1078,1056,1140,1289,1735,1847,1653,2029,2580,3323,3538,4239,4538,5179,5016,5288,5285,5128,5494,5701,6384,6269,5944,7337,7357,8108,8335,8155,6841,7389,7386,7458,7447,7933,6979,7495,7716,7748,7747,6922,6510,7198,6592,7407,6495,6761
