TIME,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Malaysia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354,700,4222,1378,1293,1418,1339,1152,837,1996,1961,2022,..
Malta,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Mauritius,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Mexico,..,..,..,..,..,..,..,..,..,..,..,516,540,687,716,789,869,1027,1127,1299,1254,2135,3008,3897,4311,5043,5776,5655,6180,6576,5390,5728,4987,5831,6553,6244,5728,4422,4688,4917,4749,4669,3291,3241,3433,3267,3239,3374,3205,3285,4684,4313,3109,3660,3941,3529,3659,3713,3333,..
Republic of Moldova,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,3,1,1,3,0,0,3,0,..
Mongolia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Montenegro,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Morocco,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8,49,31,57,99,16,75,54,118,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,..
Mozambique,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Myanmar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Namibia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Nepal,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Netherlands,3,62,126,211,333,447,567,815,1201,1340,2630,3031,4746,5926,5920,4524,5790,5858,6548,6722,5748,3914,3657,4549,4522,4126,5444,5553,6366,5649,4772,4316,4445,3728,4461,4801,5050,5280,5258,5058,5056,5116,5310,7251,7064,6744,6603,6996,6209,6671,7498,6709,7373,6811,6665,7224,7822,8505,8371,..
New Zealand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Nicaragua,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Niger,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Nigeria,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Republic of North Macedonia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Norway,99,96,95,125,125,133,206,208,321,325,405,414,432,524,499,518,455,541,829,949,1082,1095,1125,1135,1362,1349,1100,1402,1336,1127,1236,1174,1065,1124,1117,1176,1151,1131,1105,985,989,1375,1342,1285,1005,1032,999,1176,981,942,1007,978,985,1053,1021,1074,1007,1023,1149,..
Oman,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832,394,591,1070,932,634,772,826,735,1117,1841,..
Pakistan,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Panama,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Paraguay,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Peru,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Philippines,..,..,..,..,..,..,..,..,..,..,..,2,9,18,61,150,83,93,98,26,0,0,38,20,20,22,22,17,17,31,0,0,0,0,2,53,61,45,33,1,167,0,30,82,31,26,31,20,6,31,45,40,45,183,357,984,1018,1202,1111,..
Poland,79,120,76,63,72,66,74,89,125,214,120,193,276,353,350,397,450,374,385,381,697,631,645,697,883,906,1021,1148,1295,1286,1244,1076,967,1079,960,1107,1076,1076,1110,918,1116,936,1078,1052,996,961,1370,1384,1412,1327,1499,1248,1249,1599,1707,2142,1999,2041,1849,..
Portugal,15,28,60,95,130,150,156,160,168,233,237,221,257,213,283,279,262,299,264,282,257,203,527,359,731,803,1199,1168,1578,1663,1734,1333,1443,1253,1425,1523,1356,1502,1632,1750,1773,1384,1494,1688,1866,1799,1465,1831,1502,1037,1329,1381,1018,1111,1248,1096,910,914,482,..
Qatar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,203,194,249,311,282,393,400,391,450,447,447,544,536,506,370,479,740,747,729,618,814,754,800,749,828,1400,1238,1757,1743,1689,1773,1932,1981,2494,2727,2093,2001,2076,..
Romania,..,..,..,..,..,..,..,..,..,..,..,323,325,322,351,354,358,459,375,401,0,0,0,0,0,0,0,0,0,0,0,0,130,65,33,15,63,2,333,422,467,421,556,505,646,711,829,758,541,343,53,5,8,18,30,21,106,36,19,..
Russian Federation,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15764,14127,13691,12459,9210,12573,12568,12468,7301,11707,11250,12818,12936,14188,14403,14207,14507,14764,15036,19320,26131,14538,14173,17066,17496,17755,18578,18330,18852,..
Saudi Arabia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,786,5456,5915,7670,8072,7427,8278,9658,9860,10224,10047,10472,11570,12073,11431,14186,14839,14746,13980,14342,15911,17111,17395,20197,18329,19058,21698,20269,20698,21198,..
Senegal,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Serbia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,526,324,385,369,111,364,242,264,382,406,371,..
Singapore,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,368,584,619,949,985,1043,1260,1159,1074,1205,1291,1728,1964,3784,3037,2792,2301,2725,4002,4865,5892,5825,5910,6606,3306,3546,4858,4600,5100,5600,6100,6700,6000,6535,7178,..
Slovak Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,372,383,474,442,469,477,471,466,572,505,525,703,695,736,740,620,653,727,695,674,600,577,392,413,396,391,389,439,498,..
Slovenia,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,25,22,5,5,33,85,14,1,1,12,5,4,9,12,9,5,6,4,4,6,4,3,3,3,4,4,4,6,..
South Africa,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,461,459,459,478,669,955,1146,1051,955,955,955,1146,1146,1146,1146,1194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
South Sudan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,..
Spain,0,0,0,160,174,348,357,628,989,717,869,1038,1036,1404,1398,1347,1674,2029,2497,2533,2484,2606,2987,3153,3247,3418,3273,3371,4083,3562,3210,3079,2915,2894,3031,5011,4256,4802,5636,5193,5734,6044,5795,5746,4960,4097,4181,4050,4042,3838,3661,3465,3146,2527,2276,2476,3027,3115,3102,..
Sri Lanka,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Sudan,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,17,18,17,19,18,20,20,21,21,24,21,24,25,25,25,25,25,15,34,5,0,3,0,5,3,18,56,25,21,19,17,17,15,16,10,4,4,..
Suriname,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Sweden,0,0,0,0,0,0,0,286,364,531,767,956,1071,1114,1179,905,1022,761,914,992,724,664,759,926,931,783,1047,998,1043,884,1094,1090,1230,927,1248,1349,1397,1421,1205,787,897,1354,1661,1322,1215,1539,1521,1523,1363,1077,1463,1369,1308,1517,1426,1192,1554,1562,1391,..
Switzerland,6,9,11,12,15,17,79,90,124,130,129,144,147,157,171,152,120,132,129,136,143,140,139,117,93,121,118,138,134,122,133,137,131,130,131,130,134,143,145,141,137,138,131,122,124,125,133,116,126,104,107,120,118,100,105,101,88,96,90,..
Syrian Arab Republic,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,336,458,107,125,147,204,198,227,227,191,18,75,54,54,54,56,62,58,54,49,45,41,37,32,28,24,19,15,11,10,8,5,4,3,2,1,1,1,1,1,1,..
Chinese Taipei,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,558,853,1136,1412,1536,1482,1943,2164,1796,2032,2219,2198,2184,2013,2016,2029,2108,2396,3485,3865,3939,4247,3922,4118,4809,9995,9936,11187,12231,12180,12546,16149,16579,17549,18458,16006,17079,18727,19128,19688,19393,19134,19850,..
Tajikistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
United Republic of Tanzania,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Thailand,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,128,178,695,1211,933,2083,1997,1937,3482,4097,4736,6095,7830,8912,8428,9252,10021,10676,12739,14058,14815,14317,15964,17000,16411,16696,16981,18704,..
Togo,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Trinidad and Tobago,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Tunisia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Turkey,0,0,0,2,0,0,3,36,9,24,132,148,147,165,209,250,260,388,420,430,368,474,401,437,393,660,916,1430,1574,1605,1610,1486,1536,1459,1563,1699,1564,1591,1718,1471,1367,1578,1686,1320,1707,1088,1692,1429,1111,2657,2304,1173,1711,1181,881,671,504,991,609,..
Turkmenistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Ukraine,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,330,317,261,292,226,95,182,107,108,105,90,119,116,..
United Arab Emirates,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,9,15,61,74,173,214,329,303,302,380,402,330,404,471,533,628,693,551,615,647,671,824,807,791,774,757,741,724,708,694,820,904,1440,1456,1880,2518,2753,1968,2901,3117,3094,2895,..
United Kingdom,1464,1602,2296,2996,3788,3377,3708,4988,5814,6618,6986,6646,6905,7850,7839,5371,6085,6184,6320,6278,3990,4593,4242,4620,4833,5241,5926,5813,6271,6125,5424,6326,6371,6328,6716,6762,6693,6627,6868,7354,6368,5221,5717,6667,6311,6338,6328,5107,4715,4851,4313,4219,3697,3765,3584,4259,5052,4999,5003,..
United States,9893,10745,11830,23770,26900,20759,24294,23994,29406,32687,34524,37131,41415,46152,46270,48702,55834,62297,60489,58196,57637,59516,51228,51561,53185,42608,46103,46734,49008,46754,57686,61901,62064,61895,62104,74240,80199,82769,75844,82597,83535,78213,82240,82034,89422,85329,85280,83332,76142,75035,80217,69253,78264,71751,81775,71683,71215,77998,84348,..
Uruguay,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Uzbekistan,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Bolivarian Republic of Venezuela,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1071,1257,1254,1121,1079,1344,1655,1772,1680,1601,1543,1555,1389,1721,1762,1655,1784,1846,1169,1085,..
Viet Nam,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Yemen,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Zambia,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Zimbabwe,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Former Soviet Union (if no detail),..,..,..,..,..,..,..,..,..,..,..,1471,4099,3994,3888,3994,3994,3994,3994,3994,3048,3678,1997,2102,3678,3888,3573,3783,4939,4834,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Former Yugoslavia (if no detail),..,..,..,..,..,..,..,..,..,..,..,0,0,419,532,563,705,475,603,732,578,110,631,754,702,498,680,870,1102,1093,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Other Africa,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Other non-OECD Americas,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,2,2,2,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Other non-OECD Asia,..,..,..,..,..,..,..,..,..,..,..,3,3,3,1,1,1,0,0,0,3,3,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo: Greenland,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo: Guyana,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo: Madagascar,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo: Mali,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo: Palestinian Authority,..,..,..,..,..,..,..,..,..,..,..,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo: Uganda,..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..
Memo: Africa (UN),..,..,..,..,..,..,..,..,..,..,..,0,0,0,0,1,6,471,463,465,652,839,1375,1491,1420,1466,1495,1423,1529,1860,2394,2499,2413,1297,1195,1358,1304,1599,1285,1809,1755,1596,1623,1566,1107,882,850,909,1006,1870,2388,1383,2475,1365,1062,525,564,657,895,..
Memo: Americas (UN),..,..,..,..,..,..,..,..,..,..,..,40346,45260,50577,50889,52974,61040,68003,68070,66911,65643,68840,61322,63346,66570,58628,62957,64938,68151,66138,76373,81456,82065,82951,85366,97542,103132,106209,98908,109001,108969,103400,105385,107230,116811,111205,112175,110915,102240,99800,107552,95633,104342,97168,108090,98069,98672,103265,108129,..
Memo: Asia (UN),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59247,62793,69998,71136,77818,84571,92893,104147,105763,108098,115195,121116,130183,138340,151023,149629,160451,170382,168480,185011,193428,199949,207696,212814,229417,243533,246153,255683,265706,..
Memo: Europe (UN),..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,68182,67510,68041,63355,66009,75943,74354,77088,73220,75663,75954,77981,78733,81085,81141,82039,82467,82501,80884,79473,88743,74631,73283,74986,77834,76296,77976,83452,80972,..
Memo: Oceania (UN),..,..,..,..,..,..,..,..,..,..,..,1231,1180,1271,928,968,931,1074,1119,1061,1260,1163,1127,956,1181,1289,1323,1149,1629,1648,1856,1889,1893,2105,2114,2203,2229,1989,2072,2085,2115,2207,1185,1694,1961,2087,1978,2055,2004,1892,1441,2183,2596,2432,2498,2112,2382,2306,2291,..
Memo: OECD Total,..,..,..,..,..,..,..,..,..,..,..,97147,109013,122247,120545,107915,124366,131922,136724,141105,129776,126182,116916,121328,129160,122059,128921,134718,144496,142590,152757,160975,166194,164072,173716,195566,201563,211097,204868,214854,214334,209208,215611,220318,230911,226524,230193,231175,215498,215365,225912,212118,224642,218855,233029,223986,226832,241835,241536,..
Memo: Non-OECD Total,..,..,..,..,..,..,..,..,..,..,..,5227,8794,9752,10930,11873,12585,14067,15685,17108,15208,17079,18466,20044,22223,27105,27597,30544,34996,36748,55295,55171,58216,56771,58786,66050,72349,79934,76382,81802,89654,97092,101497,109597,121134,119319,127727,135586,139114,152683,167639,161662,165750,169911,185872,196548,198915,203528,216457,..
Memo: IEA Total,..,..,..,..,..,..,..,..,..,..,..,97078,108917,122213,120499,107761,124210,131767,136503,140776,129425,125862,116607,121033,128866,121816,128580,134307,144053,142176,152290,160410,165720,163584,173202,194912,200844,210086,203676,213770,213116,208120,214771,219449,229961,225714,229211,229977,214262,214320,224927,211078,223389,217363,231559,222669,225473,240441,240089,..
Memo: IEA and Accession/Association countries,..,..,..,..,..,..,..,..,..,..,..,98840,111478,125484,124480,112190,128979,137652,143396,148212,136975,135713,127875,133453,142228,139580,146505,154830,167420,166810,178590,187371,193569,190506,204963,229453,239969,255877,248842,259756,266296,261352,271712,282182,299939,293369,302684,306889,288792,291625,309773,306956,316028,312134,339037,333118,337499,355745,364726,..
Memo: European Union-28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51049,52071,53153,49519,55471,61990,60499,63344,64670,62830,63576,63648,64323,65488,65610,66330,66489,66090,63949,58488,60883,58529,57712,56295,58859,56996,57831,63473,60392,..
Memo: European Union-27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45625,45744,46783,43191,48755,55228,53806,56717,57802,55476,57208,58427,58605,58821,59299,59991,60162,60982,59234,53638,56570,54310,54015,52530,55275,52737,52779,58475,55388,..
Memo: FSU 15,..,..,..,..,..,..,..,..,..,..,..,1471,4099,3994,3888,3994,3994,3994,3994,3994,3048,3678,1997,2102,3678,3888,3573,3783,4939,4834,16504,15075,14805,13616,10326,13427,13471,13351,8533,12341,11908,13373,13595,14695,15198,15350,15521,15393,15762,19926,26706,15049,14756,17642,18100,18478,19294,19241,19829,..
Memo: Former Yugoslavia,..,..,..,..,..,..,..,..,..,..,..,0,0,419,532,563,705,475,603,732,578,110,631,754,702,498,680,870,1102,1093,194,230,222,256,283,314,330,131,105,100,109,88,80,83,97,97,89,112,602,392,448,412,117,371,249,274,399,420,387,..
Memo: OPEC,..,..,..,..,..,..,..,..,..,..,..,854,979,986,1405,1749,1387,1686,1242,1649,1362,705,1027,958,996,1147,1254,1179,1349,2280,7590,8231,9889,10726,9391,10467,11901,12586,14182,15533,16111,17136,17453,16932,19360,20159,21607,21337,24687,28505,30581,27607,33764,32857,33784,40670,40054,41183,42782,..
Memo: ASEAN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7236,8318,10794,12786,15722,16144,18293,20408,17590,23147,22662,24200,23825,25957,26714,26316,27722,28975,31459,..
Memo: G7,..,..,..,..,..,..,..,..,..,..,..,86323,95499,106064,104180,92842,107332,114043,116289,119302,108497,106140,95400,97398,103445,95501,98748,103213,109396,107669,118492,125299,126605,123685,127993,145141,151240,156789,147342,158084,156415,149827,155978,157973,168389,163173,165159,162556,147877,146674,153034,140323,149660,142574,153882,145258,144695,154783,156251,..
Memo: G8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,134256,139426,140296,136144,137203,157715,163807,169256,154643,169791,167665,162646,168914,172161,182791,177379,179666,177320,162913,165993,179165,154861,163833,159640,171378,163013,163273,173113,175103,..
Memo: G20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,199361,207153,215330,210300,220942,249478,260081,274086,263748,276965,283122,279085,287769,296695,316038,310094,318770,320791,306794,312177,335401,320223,331667,326236,353555,349905,354499,372104,379593,..
