JPN,R5OECD90+EU
CHN,R5ASIA
IND,R5ASIA
IDN,R5ASIA
KOR,R5ASIA
THA,R5ASIA
MYS,R5ASIA
VNM,R5ASIA
XSE,R5ASIA
XSA,R5ASIA
XEA,R5ASIA
XCS,R5REF
XME,R5MAF
AUS,R5OECD90+EU
NZL,R5OECD90+EU
XOC,R5OECD90+EU
CAN,R5OECD90+EU
USA,R5OECD90+EU
XE15,R5OECD90+EU
XE10,R5OECD90+EU
XE3,R5OECD90+EU
TUR,R5OECD90+EU
XEWI,R5OECD90+EU
XEEI,R5REF
XENI,R5OECD90+EU
RUS,R5REF
MEX,R5LAM
ARG,R5LAM
BRA,R5LAM
XLM,R5LAM
ZAF,R5MAF
XAF,R5MAF
XNF,R5MAF
